,QuestionID,Question,DocumentID,DocumentTitle,SentenceID,Sentence,Label
1,,,,,,,
,Q1,how are glacier caves formed?,D1,Glacier cave,D1-3,A glacier cave is a cave formed within the ice of a glacier .,1
,Q16,how much is 1 tablespoon of water,D16,Tablespoon,D16-0,This tablespoon has a capacity of about 15 mL.,1
,Q16,how much is 1 tablespoon of water,D16,Tablespoon,D16-8,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,1
,Q16,how much is 1 tablespoon of water,D16,Tablespoon,D16-9,In Australia one tablespoon (measurement unit) is 20 mL.,1
,Q17,how much are the harry potter movies worth,D17,Harry Potter,D17-13,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",1
,Q18,how a rocket engine works,D18,Rocket engine,D18-3,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",1
,Q21,how are cholera and typhus transmitted and prevented,D21,Cholera,D21-2,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",1
,Q26,how did anne frank die,D26,Anne Frank,D26-10,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",1
,Q28,how are aircraft radial engines built,D28,Radial engine,D28-4,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,1
,Q30,how deep can be drill for deep underwater,D30,Deepwater drilling,D30-0,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,1
,Q31,how old was monica lewinsky during the affair,D31,Monica Lewinsky,D31-0,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.",1
,Q32,how long was frank sinatra famous,D32,Frank Sinatra,D32-1,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.",1
,Q42,how much is jk rowling worth,D42,J. K. Rowling,D42-11,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",1
,Q43,how big is auburndale florida,D43,"Auburndale, Florida",D43-2,"According to the U.S Census estimates of 2005, the city had a population of 12,381.",1
,Q45,"how old is kirk douglas, the actor?",D45,Kirk Douglas,D45-0,"Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.",1
,Q46,how old is the singer bob seger,D46,Bob Seger,D46-0,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .",1
,Q50,how long was richard nixon a president,D50,Richard Nixon,D50-0,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",1
,Q75,how old were the twin towers when destroyed,D75,World Trade Center,D75-1,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",1
,Q77,how are the # of electrons in each shell determined,D77,Electron shell,D77-4,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.",1
,Q89,how many presidents of the us,D89,List of Presidents of the United States,D89-11,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.",1
,Q94,how old is beatrice author,D94,Bea Arthur,D94-0,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.",1
,Q98,how are public schools funded,D98,state school,D98-0,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .",1
,Q98,how are public schools funded,D98,state school,D98-1,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.",1
,Q100,what happens  to the light independent reactions of photosynthesis?,D100,Light-independent reactions,D100-2,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .,1
,Q100,what happens  to the light independent reactions of photosynthesis?,D100,Light-independent reactions,D100-4,These reactions take the light-dependent reactions and perform further chemical processes on them.,1
,Q104,what did mia hamm do his work,D104,Mia Hamm,D104-0,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.",1
,Q107,what countries are under the buddhism religion,D107,Buddhism by country,D107-10,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.",1
,Q108,how did wild bill's father die,D108,Wild Bill Hickok,D108-5,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).",1
,Q109,how many land rovers have landed on mars,D109,Mars rover,D109-4,There have been four successful robotically operated Mars rovers.,1
,Q110,how do forensic auditors examine financial reporting,D110,Financial audit,D110-1,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.",1
,Q110,how do forensic auditors examine financial reporting,D110,Financial audit,D110-2,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.",1
,Q110,how do forensic auditors examine financial reporting,D110,Financial audit,D110-3,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.,1
,Q116,What did the augurs use to interpret the will of the gods?,D116,Augur,D116-2,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.",1
,Q118,"What county is Farmington Hills, MI in?",D118,"Farmington Hills, Michigan",D118-1,It is the second largest city in Oakland County in the U.S. state of Michigan .,1
